CO,CUST#,CUSTOMER NAME,SERVICE NAME,TAX BODY,CYCLE,MTH$,BAL DUE,UNAPPLIED,CURRENT,30+,60+,90+,AREA CD#1,PHONE #1,AREA CD#2,PHONE #2,BILLING ADDR,BILLING CITY,BILLING STATE,BILLING ZIP,SERVICE ADDR,SERVICE CITY,SERVICE STATE,SERVICE ZIP,CONTACT,V0  User Field,V1  CART SURCHARG,V2  MF UNITS,V3  BIZ TYPE,V4  SB1383,V5  Alternate Nam,V6  Opted out of,VARIABLE 7,VARIABLE 8,VARIABLE 9,V10 Old Account #,VARIABLE 11,VARIABLE 12,VARIABLE 13,VARIABLE 14,RES,MTD,YTD,SALES ID,START DT,STOP DT,BILLING STR DT,ACT CD,FEE CODE,PRICE LIST,CREDIT LIMIT,AREA CD#3,PHONE #3,SERVICE COUNTY,SERV MISC FLAG,BILL MISC FLAG,GENERAL EMAIL,BILLING EMAIL,F/C FLAG
01,948,LA PRIMA,LA PRIMA,C     ,CA,842.69,0,,0,0,0,0,707,942-8070,707,,1010  ADAMS ST,SAINT HELENA,CA,945741108,1923  LAKE ST,CALISTOGA,CA,94515    ,ELIZABETH ALDO 396-1578,,,,RESTAURANT,,,,,,,,,,,,N,0,7657.46,,03/04/2002,,03/04/2002,,,C,,,,,,,laprimapizza@aol.com,laprimapizza@aol.com,Y
01,1084,CLIFF LEDE VINEYARDS,CLIFF LEDE VINEYARDS,YC    ,CA,1835.23,3697.99,,1862.76,1835.23,0,0,707,754-4218,707,492-0527,1473  YOUNT X RD,YOUNTVILLE,CA,94599    ,1473  YOUNT X RD,YOUNTVILLE,CA,94599    ,LISA HALL & JIM HOFFMAN,,,,WINERY,,,,,,,,,,,,N,0,12329.79,,05/31/2021,,05/31/2021,,,CO,,,,,,,lisa@ledefamilywines.com,james@ledefamilywines.com,Y
01,1092,DEL DOTTO VINEYARDS,DEL DOTTO VINEYARDS,SC    ,CA,1373.25,3141.7,,1768.45,1373.25,0,0,707,963-2134,707,,540  TECHNOLOGY WAY,NAPA,CA,94558    ,1445 S ST HELENA HWY,ST HELENA,CA,94574    ,YOLANDA OWNER,,,,WINERY,,,,,,,,,,,,N,0,12492.28,,04/02/2002,,04/02/2002,,,CO,,,,,,,ddvap@deldottovineyard.com,ddvap@deldottovineyards.com,Y
01,1454,AHERN TRUST,AHERN TRUST,SC    ,CA,452.18,452.18,,452.18,0,0,0,707,963-4148,707,963-4148,P O BOX 831589,DALLAS,TX,75283    ,3050 N ST HELENA HWY,ST HELENA,CA,94574    ,DAVE SLAIGHT,,,,VINEYARD,,,,,,,,,,,,N,0,4108.88,,01/01/1980,,01/01/1980,,,CO,,,,,,,,,Y
01,1575,O'SHAUGHNESSY ESTATE WINERY,O'SHAUGHNESSY ESTATE WINERY,AC    ,CA,760.91,760.91,,760.91,0,0,0,707,965-2898,707,965-0105,P O BOX 923,ANGWIN,CA,94508    ,1150  FRIESEN DR,ANGWIN,CA,94508    ,SEAN,,,,WINERY,,,,,,,,,,,,N,0,7004.3,,06/17/2002,,06/17/2002,,,CO,,,,,,,sean@oshaughnessywinery.com,,Y
01,1742,ST HELENA NURSERY SCHOOL,ST HELENA NURSERY SCHOOL,YC    ,CA,44.86,0,,0,0,0,0,707,963-7212,707,963-7212,P O BOX 493,RUTHERFORD,CA,945730493,1201  NIEBAUM LN,RUTHERFORD,CA,94573    ,MAUREEN,,,,PRESCHOOL,,ST HELENA NURSER,,,,,,,,,,N,0,855.43,,09/08/1997,,09/08/1997,,,CO,,,,,,,cooptreasury@gmail.com,cooptreasury@gmail.com,Y
01,1767,PETALS & STEMS,ST HELENA FLORIST,S     ,CA,363.91,363.91,,363.91,0,0,0,707,963-4048,707,,P O BOX 272,ST HELENA,CA,94574    ,1340  RAILROAD AVE,ST HELENA,CA,94574    ,SYLVIA CORRO,,,,FLORIST,,,,,,,,,,,,N,0,3306.82,,07/04/2002,,07/04/2002,,,S,,,,,,,sthelenaflorist@earthlink.net,,Y
01,1824,GOOSECROSS CELLARS  INC.,GOOSECROSS CELLARS  INC.,YC    ,CA,684.42,684.42,,684.42,0,0,0,707,754-4162,,,1119  STATE LN,YOUNTVILLE,CA,945999407,1119  STATE LN,YOUNTVILLE,CA,945999407,DEANNA  CONTROLLER,,,,WINERY,,GOOSECROSS CELLA,,,,,,,,,,N,0,6229.51,,06/19/1995,,06/19/1995,,,CO,,,,,,,accounting@goosecross.com,accounting@goosecross.com,Y
01,2064,CAKEBREAD CELLARS,CAKEBREAD CELLARS,YC    ,CA,1693.5,1693.5,,1693.5,0,0,0,707,963-5221,707,,P O BOX 216,RUTHERFORD,CA,94573    ,8254 S ST HELENA HWY,OAKVILLE,CA,94562    ,CYNTHIA EXT 254,,,,WINERY,,,,,,,,,,,,N,0,15388.68,,08/18/2006,,08/18/2006,,,CO,,,,,,,cynthia@cakebread.com,ap@cakebread.com,Y
01,2226,BUEHLER VINEYARDS,BUEHLER VINEYARDS,SC    ,CA,0,1456.44,,1456.44,0,0,0,707,963-2155,707,,820  GREENFIELD RD,ST HELENA,CA,94574    ,820  GREENFIELD RD,ST HELENA,CA,94574    ,MOLLY OR JOHN,,,,VINEYARD,,,,,,,,,,,,N,0,11082.83,,09/13/2002,,09/13/2002,,,CO,,,,,,,molly@buehler.com,john@buehler.com,Y
01,2253,ST HELENA SPANISH S.D.A,ST HELENA SPANISH S.D.A,S     ,CA,97.87,-38.81,,-38.81,0,0,0,707,287-5784,707,965-3886,P O BOX 532,ST HELENA,CA,94574    ,957  BROWN           A,ST HELENA,CA,94574    ,KEN WALLIN-TREASURER,,,,CHURCH,,,,,,,,,,,,N,0,889.86,,09/24/2002,,09/24/2002,,,S,,,,,,,,,Y
01,2339,QUINTESSA,QUINTESSA VINEYARDS,SC    ,CA,1522.96,3068.76,,1545.8,1522.96,0,0,707,313-5406,707,753-0879,1040  MAIN ST  SUITE 204,NAPA,CA,945592605,1601 S SILVERADO TRL,ST HELENA,CA,94574    ,OCTAVIO LLAMAS,,,,VINEYARD,,,,,,,,,,,,N,0,13121.64,,10/03/2002,,10/03/2002,,,CO,,707,967-9668,,,,benjamin@quintessa.com,octavio.llamas@huneeuswine.com,Y
01,2342,BELL WINE CELLARS,BELL WINE CELLARS,YC    ,CA,487.05,487.05,,487.05,0,0,0,707,944-1673,707,,6200  WASHINGTON ST,YOUNTVILLE,CA,94599    ,6200  WASHINGTON ST,YOUNTVILLE,CA,94599    ,SHARRON TELLE,,,,WINERY,,,,,,,,,,,,N,0,4425.72,,10/07/2002,,10/07/2002,,,CO,,,,,,,sharon@bellwine.com,info@bellwine.com,Y
01,2372,VINEYARD & WINERY,WILLIAM HARRISON,SC    ,CA,199.35,199.35,,199.35,0,0,0,707,963-8762,707,,1443  SILVERADO TRL S,ST HELENA,CA,94574    ,1443 S SILVERADO TRL,ST HELENA,CA,94574    ,DEANNA HARRISON,,,,WINERY,,,,,,,,,,,,N,0,1811.46,,10/07/2002,,10/07/2002,,,CO,,,,,,,,,Y
01,2642,NAPA CNTY REC & OPEN SPACE DIS,BOTHE,CC    ,CA,0,250.75,,250.75,0,0,0,707,942-4575,707,299-1339,1195  THIRD ST  SUITE 210,NAPA,CA,945593048,3801 N ST HELENA HWY,CALISTOGA,CA,94515    ,BARBETTE RUFFINO,,,,PARK,,,,,,,,,,,,N,0,250.75,,11/29/2002,,11/29/2002,,,CO,,,,,,,barb.ruffino@countyofnapa.org,,N
01,2678,NAPA VALLEY VINTAGE HOME,NAPA VALLEY VINTAGE HOME,S     ,CA,293.61,293.61,,293.61,0,0,0,707,963-7423,707,,1201  MAIN ST,ST HELENA,CA,94574    ,1201  MAIN ST,ST HELENA,CA,94574    ,LAURA ROMBAUER/HEIDI,,,,HOME IMPRO,,,,,,,,,,,,N,0,2672.48,,11/19/2002,,11/19/2002,,,S,,,,,,,accounting@napavalleyvintagehome.com,,Y
01,2754,WYMAN PROPERTIES,WYMAN PROPERTIES,CL    ,CA,1227.47,1609.47,,1233.07,376.4,0,0,707,224-0400,707,,1625  JEFFERSON ST,NAPA,CA,945591705,1416  MYRTLE ST,CALISTOGA,CA,94515    ,JANET,,,,MULTIFAMIL,,,,,,,,,,,,N,0,11162.3,,11/21/2002,,11/21/2002,,,CL,,,,,,,janet@wymanpm.com,,Y
01,2810,WINE COUNTRY DAY,WINE COUNTRY DAY,Y     ,CA,67.49,67.49,,67.49,0,0,0,707,944-2244,707,,P O BOX 2417,NAPA,CA,94558    ,6554  YOUNT ST,YOUNTVILLE,CA,94599    ,SONDRA,,,,PRESCHOOL,,,,,,,,,,,,N,0,614.29,,12/09/2002,,,,,Y,,,,,,,,,Y
01,3143,FIFTY FIVE DEGREES,FIFTY FIVE DEGREES,S     ,TA,0,100,,100,0,0,0,707,963-5513,707,,1210  CHURCH ST,ST HELENA,CA,94574    ,1210  CHURCH ST,ST HELENA,CA,94574    ,,,,,,,,,,,,,,,,,N,100,100,,10/29/2021,,,,,S,,,,,,,denise@fiftyfivedegrees.com,denise@fiftyfivedegrees.com,Y
01,3159,BLACK SEARS WINERY,BLACK SEARS WINERY,AC    ,CA,89.71,0,,0,0,0,0,707,965-9650,707,889-1243,2615  SUMMIT LAKE DR,ANGWIN,CA,94508    ,2610  SUMMIT LAKE DR,ANGWIN,CA,94508    ,JEROME ASST WINEMAKER,,,,WINERY,,,,,,,,,,,,N,0,815.2,,02/12/2003,,02/12/2003,,,CO,,,,,,,chris@blacksears.com,,Y
01,3232,CAKEBREAD CELLARS,CAKEBREAD CELLARS,YC    ,TA,0,3779.88,,3779.88,0,0,0,707,732-6919,707,,P O BOX 216,RUTHERFORD,CA,94573    ,8300  S ST HELENA HWY,RUTHERFORD,CA,94573    ,ROBERT,,,,,,,,,,,,,,,,N,0,14163.64,,08/29/2018,,03/05/2014,,,CO,,,,,,,,ap@cakebread.com,Y
01,3630,LMR WINE ESTATES LLC,LONG MEADOW RANCH,SC    ,CA,134.57,0,,0,0,0,0,707,732-6394,707,,P O BOX 477,RUTHERFORD,CA,945730477,1775 N WHITEHALL LN,ST HELENA,CA,94574    ,CHRIS,,,,VINEYARD,,,,,,,,,,,,N,0,1222.82,,05/05/2003,,05/05/2003,,,CO,,,,,,,ap@longmeadowranch.com,ap@longmeadowranch.com,Y
01,3723,DR WARTENWEILER,WARTENWEILER  DR,S     ,CA,195.74,195.74,,195.74,0,0,0,707,335-8700,707,963-7307,P O BOX 223,NAPA,CA,94559    ,1120  POPE ST,ST HELENA,CA,94574    ,DOUGLAS VALCHAR EXT 103,,,,MEDICAL,,WARTENWEILER  DR,,,,,,,,,,N,0,1778.72,,01/01/1980,,01/01/1980,,,S,,,,,,,,,Y
01,3842,SILVER OAK CELLARS,TWOMEY CELLARS,CC    ,CA,632.56,818.92,,818.92,0,0,0,707,942-2491,707,942-2700,7300  HIGHWAY 128,HEALDSBURG,CA,954488018,1183  DUNAWEAL LN,CALISTOGA,CA,94515    ,BETTY FIX,,,,WINERY,,,,,,,,,,,,N,0,5271.06,,06/05/2003,,06/05/2003,,,CO,,707,944-8808,,,,accounting@silveroak.com,accounting@silveroak.com,Y
01,3844,NAPA COUNTY HOUSING AUTHORITY,NAPA COUNTY HOUSING,SC    ,CA,1005.67,1230.67,,1230.67,0,0,0,707,257-9543,707,963-7496,1195  THIRD ST  SUITE 310,NAPA,CA,94559    ,1109 N SILVERADO TRL,ST HELENA,CA,94574    ,CYNTHIA COOPER 257-9335,,,,MIXED USE,,,,,,,,,,,,N,90,14878.81,,06/27/2003,,,,,CO,,,,,,,,,N
01,4124,NAPA COUNTY LIBRARY,CALISTOGA LIBRARY,C     ,CA,110.64,110.64,,110.64,0,0,0,707,253-4242,707,942-4833,580  COOMBS ST,NAPA,CA,94559    ,1108  MYRTLE ST,CALISTOGA,CA,94515    ,SUMIYO WHISTLER,,,,,,,,,,,,,,,,N,0,1006.77,,07/17/2003,,07/17/2003,,,C,,,,,,,sumiyowhistler@countyofnapa.org,,Y
01,4126,PINE RIDGE WINERY,PINE RIDGE WINERY,SC    ,CA,597.92,597.92,,597.92,0,0,0,707,253-7500,707,,5901  SILVERADO TRL,NAPA,CA,945589417,1537 N WHITEHALL LN,ST HELENA,CA,94574    ,LESLIE A/R 257-4760,,,,WINERY,,,,,,,,,,,,N,0,5433.26,,07/22/2003,,07/22/2003,,,CO,,,,,,,apinvoices@crimsonwinegroup.com,apinvoices@crimsonwinegroup.com,Y
01,4196,FN CELLARS,NICKEL & NICKEL,YC    ,CA,2798.11,2798.11,,2798.11,0,0,0,707,967-9600,707,967-0918,P O BOX 7,OAKVILLE,CA,94562    ,8164 S ST HELENA HWY,OAKVILLE,CA,94562    ,ERIC NICKEL 486-2170,,,,WINERY,,,,,,,,,,,,N,0,20839.21,,07/29/2003,,,,,CO,,,,,,,,AP@FarNiente.com,Y
01,4226,BENNETT LANE WINERY,BENNETT LANE WINERY,CC    ,CA,632.56,632.56,,632.56,0,0,0,707,942-6684,707,,3340  HWY 128,CALISTOGA,CA,94515    ,3340  HWY 128,CALISTOGA,CA,94515    ,BENNETTE SALT,,,,WINERY,,,,,,,,,,,,N,0,4984.96,,08/08/2003,,08/08/2003,,,CO,,,,,,,stefanie@bennettlane.com,bennette@bennettlane.com,Y
01,4247,JULIE KAPLAN,JULIE KAPLAN,C     ,CA,103.92,209.4,,105.48,103.92,0,0,707,942-5326,707,,1323  FOOTHILL BLVD,CALISTOGA,CA,94515    ,1313  FOOTHILL BLVD,CALISTOGA,CA,94515    ,CARL MAASE,,,,,,,,,,,,,,,,N,0,948.54,,08/07/2003,,,,,C,,,,,,,,,Y
01,4260,HALL WINES,HALL WINES WINERY,SC    ,CA,1150.37,0,,0,0,0,0,916,759-9627,707,,401  SAINT HELENA HWY S,SAINT HELENA,CA,945742200,401  S ST HELENA HWY,ST HELENA,CA,94574    ,FRED,,,,WINERY,,,,,,,,,,,,N,0,10453.28,,08/18/2003,,08/18/2003,,,CO,,,,,,,fawright@hallwines.com,fawright@hallwines.com,Y
01,4308,SCHRAMSBERG WINERY,SCHRAMSBERG WINERY,CC    ,CA,2358.3,2358.3,,2358.3,0,0,0,707,942-2423,707,422-0420,1400  SCHRAMSBERG RD,CALISTOGA,CA,94515    ,1400  SCHRAMSBERG RD,CALISTOGA,CA,94515    ,LLOYD MARTIN,,,,WINERY,,,,,,,,,,,,N,0,20060.1,,08/14/2003,,08/14/2003,,,CO,,,,,,,mhaswell@schramsberg.com,,Y
01,4420,WINE WAY INN,WINE WAY INN,C     ,CA,103.93,0,,0,0,0,0,408,832-9052,707,942-0680,1019  FOOTHILL BLVD,CALISTOGA,CA,94515    ,1019  FOOTHILL BLVD,CALISTOGA,CA,94515    ,GILLIAN KITE,,,,LODGING-FW,,,,,,,,,,,,N,0,944.38,,10/02/2003,,,,,C,,,,,,,winewayinn@aol.com,winewayinn@aol.com,Y
01,4445,KAPCSANDY FAMILY LLC,KAPCSANDY FAMILY LLC,YC    ,CA,134.57,134.57,,134.57,0,0,0,707,948-3105,707,948-3102,P O BOX 3717,YOUNTVILLE,CA,94599    ,1001  STATE LN,YOUNTVILLE,CA,94599    ,DAVID SOTELO,,,,WINERY,,,,,,,,,,,,N,0,1222.82,,09/29/2003,,09/29/2003,,,CO,,,,,,,david@kapcsandywines.com,,Y
01,4449,VINEYARD 29,VINEYARD 29,SC    ,CA,945.34,945.34,,945.34,0,0,0,707,967-5465,707,,P O BOX 93,ST HELENA,CA,94574    ,2929 N ST HELENA HWY,ST HELENA,CA,94574    ,FRANK,,,,WINERY,,,,,,,,,,,,N,0,9561.06,,09/30/2003,,09/30/2003,,,CO,,,,,,,loretta@vineyard29.com,loretta@vineyard29.com,Y
01,4454,CALISTOGA HIGH SCHOOL,PALISADES HIGH SCHOOL,C     ,CA,135.12,135.12,,135.12,0,0,0,707,942-5255,707,253-6923,1327  BERRY ST,CALISTOGA,CA,94515    ,1507  GRANT ST,CALISTOGA,CA,94515    ,NICOLE HUMPHRIES,,,,SCHOOL,,,,,,,,,,,,N,0,1233,,09/26/2003,,09/26/2003,,,C,,707,291-7205,,,,accountspayable@calistogajusd.org,accountspayable@calistogaschools.org,Y
01,4477,FLEURY ESTATE WINERY,FLEURY ESTATE WINERY,YC    ,CA,134.57,0,,0,0,0,0,707,967-8281,707,,P O BOX 610,RUTHERFORD,CA,94573    ,950  GALLERON LN,ST HELENA,CA,94574    ,PHONE 1 EXTENSION IS 103,,,,WINERY,,,,,,,,,,,,N,0,1224.53,,10/06/2003,,10/06/2003,,,CO,,,,,,,liz@fleurywinery.com,liz@fleurywinery.com,Y
01,4520,KATHLEEN OLSON,KATHLEEN OLSON,Y     ,CA,101.24,44.66,,44.66,0,0,0,707,745-3602,707,,920  FIRST ST  SUITE 101,BENICIA,CA,94510    ,2028  ADAMS ST,YOUNTVILLE,CA,94599    ,KATHLEEN,,,6,MULTIFAMIL,,,,,,,,,,,,N,0,876.18,,10/13/2003,,10/13/2003,,,Y,,,,,,,tc.alissa.920@gmail.com,lene@comcast.net,Y
01,4631,TOURELLE  LLC,OUTPOST WINES,AC    ,CA,370.07,0,,0,0,0,0,707,965-1718,707,478-1522,P O BOX J,ANGWIN,CA,94508    ,2075  SUMMIT LAKE DR,ANGWIN,CA,94508    ,TOMMY UFLAND,,,,WINERY,,,,,,,,,,,,N,0,3362.78,,11/26/2003,,11/26/2003,,,CO,,,,,,,accounting@outpostwines.com,tommy@outpostwines.com,Y
01,4686,DG-USA,DG-USA,C     ,CA,439.46,439.46,,439.46,0,0,0,707,942-5727,707,,5847  SHARP RD,CALISTOGA,CA,94515    ,2436  FOOTHILL BL,CALISTOGA,CA,94515    ,OLIVER DYER-BENNET,,,,STRIP MALL,,,,,,,,,,,,N,0,3993.32,,11/07/2003,,,,,C,,,,,,,,,Y
01,4780,PAOLETTI ESTATE WINERY,PAOLETTI ESTATE WINERY,CC    ,CA,134.57,134.57,,134.57,0,0,0,707,942-0689,707,,11628  BARRINGTON CT,LOS ANGELES,CA,90049    ,4501 N SILVERADO TRL,CALISTOGA,CA,94515    ,DEBRA,,,,WINERY,,,,,,,,,,,,N,0,1222.82,,01/15/2004,,01/15/2004,,,CO,,,,,,,,,Y
01,4781,ENVY WINES,ENVY WINES,CC    ,CA,89.71,89.71,,89.71,0,0,0,707,942-4670,707,,1170  TUBBS LN,CALISTOGA,CA,94515    ,1170  TUBBS LN,CALISTOGA,CA,94515    ,DAN BLAIN-NEW MANAGER,,,,WINERY,,,,,,,,,,,,N,0,815.2,,01/08/2004,,,,,CO,,,,,,,info@envywines.com,info@envywines.com,Y
01,4831,MARGARITO DELGADILLO,MARGARITO DELGADILLO,C     ,CA,69.28,0,,0,0,0,0,707,963-7470,707,,P O BOX 1002,ST HELENA,CA,94574    ,809  WASHINGTON ST,CALISTOGA,CA,94515    ,MARGARITO,,,4,FOURPLEX,,,,,,,,,,,,N,0,630.44,,01/19/2004,,,,,C,,,,,,,,,Y
01,4845,STORAGE PRO OF SAINT HELENA,STORAGE PRO,SC    ,CA,1373.25,1523.25,,1523.25,0,0,0,925,938-6300,707,,P O BOX 459,WALNUT CREEK,CA,945970459,829 S ST HELENA HWY,ST HELENA,CA,94574    ,MAE CARVER 938-6300 X 10,,,,UTILITY,,,,,,,,,,,,N,0,12331.96,,01/26/2004,,01/26/2004,,,CO,,,,,,,accountspayable@storagepro.com,accountspayable@storagepro.com,Y
01,4859,ALBION SURVEYORS,ALBION SURVEYORS,S     ,CA,171.28,171.28,,171.28,0,0,0,707,963-1217,707,,1113  HUNT AVE,ST HELENA,CA,94574    ,1113  HUNT AVE,ST HELENA,CA,94574    ,KELI DUNSTER,,,,OFFICE BLD,,,,,,,,,,,,N,0,1556.44,,02/17/2004,,02/17/2004,,,S,,,,,,,kdunster@albionsurveys.com,,Y
01,4963,BILL MOSELEY,BILL MOSELEY,S     ,CA,97.87,0,,0,0,0,0,707,963-5701,707,,P O BOX 126,ST HELENA,CA,94574    ,1304  OAK AVE,ST HELENA,CA,94574    ,BILL,,,,OFFICE BLD,,,,,,,,,,,,N,0,889.36,,03/09/2004,,,,,S,,,,,,,bill@billmoseley.net,bill@billmoseley.net,Y
01,5017,WOODHOUSE CHOCOLATE,WOODHOUSE CHOCOLATE,S     ,CA,195.74,195.74,,195.74,0,0,0,707,963-8413,707,,1367  MAIN ST,ST HELENA,CA,94574    ,1367  MAIN ST,ST HELENA,CA,94574    ,JOHN ANDERSON,,,,RESTAURANT,,,,,,,,,,,,N,0,1778.72,,03/30/2004,,,,,S,,,,,,,,,Y
01,5026,FANTESCA WINE,FANTESCA WINE,SC    ,CA,0,1103.25,,1103.25,0,0,0,952,324-8905,952,324-8900,P O BOX 61133,IRVINE,CA,926026037,2920  SPRING MTN RD,ST HELENA,CA,94574    ,ERIC GORDAN 707-968-9229,,,,WINERY,,,,,,,,,,,,N,0,7973.39,,03/24/2004,,03/24/2004,,,CO,,,,,,,accounting@fantesca.com,accounting@fantesca.com,Y
01,5055,TITUS VINEYARDS,TITUS VINEYARDS,SC    ,CA,527.42,527.42,,527.42,0,0,0,707,963-3235,707,454-6705,P O BOX 608,SAINT HELENA,CA,945740608,2971 N SILVERADO TRL,ST HELENA,CA,94574    ,CONNIE GREEN,,,,WINERY,,,,,,,,,,,,N,0,4988.34,,04/07/2004,,04/07/2004,,,CO,,,,,,,info@titusvineyards.com,,Y
01,5212,DEXTER ESTATE LANDSCAPES,DEXTER ESTATE LANDSCAPES,CC    ,CA,134.57,0,,0,0,0,0,707,829-5879,707,,3055  MYRTLEDALE RD,CALISTOGA,CA,94515    ,3055  MYRTLEDALE RD,CALISTOGA,CA,94515    ,ALICE DEXTER,,,,LANDSCAPER,,,,,,,,,,,,N,0,1224.53,,05/06/2007,,05/06/2007,,,CO,,,,,,,accounting@dexterel.com,accounting@dexterel.com,Y
01,5311,REVANA FAMILY VYD,REVANA FAMILY VYD,SC    ,CA,358.85,0,,0,0,0,0,281,446-4638,707,967-8814,2525  NANTUCKET DR,HOUSTON,TX,770574801,2930 N ST HELENA HWY,ST HELENA,CA,94574    ,TOM GARRETT,,,,WINERY,,,,,,,,,,,,N,0,3260.84,,06/02/2004,,06/02/2004,,,CO,,,,,,,phillip@revanawine.com,phillip@revanawine.com,Y
